ts,price
2020-01-02,143.9499969482422
2020-01-03,145.86000061035156
2020-01-06,147.38999938964844
2020-01-07,147.97000122070312
2020-01-08,146.86000061035156
2020-01-09,146.02999877929688
2020-01-10,146.91000366210938
2020-01-13,145.82000732421875
2020-01-14,145.69000244140625
2020-01-15,146.5399932861328
2020-01-16,146.30999755859375
2020-01-17,146.5800018310547
2020-01-21,146.74000549316406
2020-01-22,146.7899932861328
2020-01-23,147.1199951171875
2020-01-24,147.97999572753906
2020-01-27,148.99000549316406
2020-01-28,147.66000366210938
2020-01-29,148.4600067138672
2020-01-30,148.47000122070312
2020-01-31,149.3300018310547
2020-02-03,148.36000061035156
2020-02-04,146.42999267578125
2020-02-05,146.61000061035156
2020-02-06,147.39999389648438
2020-02-07,147.7899932861328
2020-02-10,148.1699981689453
2020-02-11,147.66000366210938
2020-02-12,147.5399932861328
2020-02-13,148.3800048828125
2020-02-14,149.0
2020-02-18,150.91000366210938
2020-02-19,151.7899932861328
2020-02-20,152.41000366210938
2020-02-21,154.6999969482422
2020-02-24,156.08999633789062
2020-02-25,153.3000030517578
2020-02-26,153.97000122070312
2020-02-27,154.0
2020-02-28,148.3800048828125
2020-03-02,149.1999969482422
2020-03-03,153.88999938964844
2020-03-04,154.16000366210938
2020-03-05,157.49000549316406
2020-03-06,157.5500030517578
2020-03-09,157.80999755859375
2020-03-10,154.47999572753906
2020-03-11,153.92999267578125
2020-03-12,147.7899932861328
2020-03-13,143.27999877929688
2020-03-16,141.63999938964844
2020-03-17,143.55999755859375
2020-03-18,140.6999969482422
2020-03-19,138.0399932861328
2020-03-20,140.11000061035156
2020-03-23,146.3000030517578
2020-03-24,153.39999389648438
2020-03-25,151.3000030517578
2020-03-26,153.24000549316406
2020-03-27,152.25
2020-03-30,152.9199981689453
2020-03-31,148.0500030517578
2020-04-01,149.4499969482422
2020-04-02,151.89999389648438
2020-04-03,152.64999389648438
2020-04-06,156.8800048828125
2020-04-07,156.0399932861328
2020-04-08,154.64999389648438
2020-04-09,158.69000244140625
2020-04-13,161.41000366210938
2020-04-14,162.67999267578125
2020-04-15,161.85000610351562
2020-04-16,161.7100067138672
2020-04-17,158.57000732421875
2020-04-20,159.6999969482422
2020-04-21,158.61000061035156
2020-04-22,161.72999572753906
2020-04-23,163.33999633789062
2020-04-24,162.63999938964844
2020-04-27,161.55999755859375
2020-04-28,160.83999633789062
2020-04-29,161.72999572753906
2020-04-30,158.8000030517578
2020-05-01,159.77999877929688
2020-05-04,160.33999633789062
2020-05-05,161.02000427246094
2020-05-06,158.9499969482422
2020-05-07,161.38999938964844
2020-05-08,160.4199981689453
2020-05-11,159.4199981689453
2020-05-12,160.0399932861328
2020-05-13,161.5800018310547
2020-05-14,163.00999450683594
2020-05-15,163.92999267578125
2020-05-18,162.69000244140625
2020-05-19,164.25999450683594
2020-05-20,164.64999389648438
2020-05-21,162.25
2020-05-22,163.2100067138672
2020-05-26,160.88999938964844
2020-05-27,161.17999267578125
2020-05-28,161.72000122070312
2020-05-29,162.91000366210938
2020-06-01,163.66000366210938
2020-06-02,162.60000610351562
2020-06-03,159.60000610351562
2020-06-04,161.27999877929688
2020-06-05,158.00999450683594
2020-06-08,159.72000122070312
2020-06-09,161.25999450683594
2020-06-10,163.57000732421875
2020-06-11,162.38999938964844
2020-06-12,162.6199951171875
2020-06-15,162.3300018310547
2020-06-16,162.25
2020-06-17,162.55999755859375
2020-06-18,162.24000549316406
2020-06-19,164.02999877929688
2020-06-22,165.08999633789062
2020-06-23,166.47999572753906
2020-06-24,165.89999389648438
2020-06-25,165.8000030517578
2020-06-26,166.5399932861328
2020-06-29,166.6300048828125
2020-06-30,167.3699951171875
2020-07-01,166.6199951171875
2020-07-02,166.97999572753906
2020-07-06,167.97999572753906
2020-07-07,169.0399932861328
2020-07-08,170.08999633789062
2020-07-09,169.6300048828125
2020-07-10,169.19000244140625
2020-07-13,169.39999389648438
2020-07-14,170.19000244140625
2020-07-15,170.33999633789062
2020-07-16,168.72999572753906
2020-07-17,170.1199951171875
2020-07-20,170.94000244140625
2020-07-21,173.0
2020-07-22,175.6300048828125
2020-07-23,177.17999267578125
2020-07-24,178.6999969482422
2020-07-27,182.22999572753906
2020-07-28,183.75
2020-07-29,185.1300048828125
2020-07-30,183.75999450683594
2020-07-31,185.42999267578125
2020-08-03,185.63999938964844
2020-08-04,189.58999633789062
2020-08-05,191.35000610351562
2020-08-06,193.88999938964844
2020-08-07,190.80999755859375
2020-08-10,190.14999389648438
2020-08-11,179.94000244140625
2020-08-12,179.10000610351562
2020-08-13,183.3300018310547
2020-08-14,182.5399932861328
2020-08-17,186.5
2020-08-18,188.17999267578125
2020-08-19,182.24000549316406
2020-08-20,183.5
2020-08-21,182.02999877929688
2020-08-24,181.0
2020-08-25,181.22000122070312
2020-08-26,183.36000061035156
2020-08-27,181.24000549316406
2020-08-28,184.38999938964844
2020-08-31,184.8300018310547
2020-09-01,185.0500030517578
2020-09-02,182.6199951171875
2020-09-03,181.13999938964844
2020-09-04,181.63999938964844
2020-09-08,181.2899932861328
2020-09-09,183.0500030517578
2020-09-10,182.4600067138672
2020-09-11,182.4499969482422
2020-09-14,183.88999938964844
2020-09-15,183.4499969482422
2020-09-16,183.97000122070312
2020-09-17,182.9600067138672
2020-09-18,183.1999969482422
2020-09-21,179.52000427246094
2020-09-22,178.64999389648438
2020-09-23,174.7899932861328
2020-09-24,175.44000244140625
2020-09-25,174.94000244140625
2020-09-28,176.6999969482422
2020-09-29,178.19000244140625
2020-09-30,177.1199951171875
2020-10-01,178.6999969482422
2020-10-02,178.5399932861328
2020-10-05,179.41000366210938
2020-10-06,177.3000030517578
2020-10-07,177.22000122070312
2020-10-08,177.85000610351562
2020-10-09,181.0800018310547
2020-10-12,180.55999755859375
2020-10-13,177.72000122070312
2020-10-14,178.27000427246094
2020-10-15,178.9199981689453
2020-10-16,178.3000030517578
2020-10-19,178.38999938964844
2020-10-20,179.25
2020-10-21,180.60000610351562
2020-10-22,178.8300018310547
2020-10-23,178.63999938964844
2020-10-26,178.5500030517578
2020-10-27,179.02000427246094
2020-10-28,176.1300048828125
2020-10-29,175.39999389648438
2020-10-30,176.1999969482422
2020-11-02,177.91000366210938
2020-11-03,178.9199981689453
2020-11-04,178.82000732421875
2020-11-05,182.92999267578125
2020-11-06,183.19000244140625
2020-11-09,175.0800018310547
2020-11-10,175.66000366210938
2020-11-11,174.89999389648438
2020-11-12,175.9600067138672
2020-11-13,177.16000366210938
2020-11-16,177.14999389648438
2020-11-17,176.5
2020-11-18,175.49000549316406
2020-11-19,175.16000366210938
2020-11-20,175.69000244140625
2020-11-23,172.22999572753906
2020-11-24,169.58999633789062
2020-11-25,169.50999450683594
2020-11-27,167.7899932861328
2020-11-30,166.6699981689453
2020-12-01,170.17999267578125
2020-12-02,171.4600067138672
